Feature	Module	Term
HLA-C	cluster_185	['GO:0055038']
MMP14	cluster_185	['GO:0016485']
PIP5K1A	cluster_185	['GO:0030216', 'GO:0072659']
PRKAA2	cluster_185	['GO:0016241', 'GO:0070507']
RAB11A	cluster_185	['GO:0055038', 'GO:0072659']
RASSF7	cluster_185	['GO:0070507']
APPL2	cluster_186	['GO:0031901']
DAG1	cluster_186	['GO:0030336']
MCOLN3	cluster_186	['GO:0000421', 'GO:0031901']
MITF	cluster_186	['GO:0030336']
VMP1	cluster_186	['GO:0000421']
PTCH2	cluster_188	['GO:0045879']
USP7	cluster_188	['GO:0070536', 'GO:0071108']
CDKN1A	cluster_189	['GO:0071480']
MDM2	cluster_189	['GO:0071480']
XRCC5	cluster_189	['GO:0071480']
SH3GLB1	cluster_19	['GO:0005741']
UBC	cluster_19	['GO:0005741']
CACNA1A	cluster_190	['GO:0006816', 'GO:0070588']
DRD2	cluster_190	['GO:0032147', 'GO:0051209']
NRK	cluster_190	['GO:0032147']
TRPM2	cluster_190	['GO:0006816', 'GO:0051209', 'GO:0070588']
CHAF1A	cluster_193	['GO:0006334']
DAXX	cluster_193	['GO:0006334']
HNRNPK	cluster_193	['GO:0010494']
KPNB1	cluster_193	['GO:0010494']
BIRC2	cluster_194	['GO:0031398']
CD163	cluster_194	['GO:0006953']
CDC42	cluster_194	['GO:0048010']
CHFR	cluster_194	['GO:0031398']
DST	cluster_194	['GO:0005882']
FBXO4	cluster_194	['GO:0031398']
FN1	cluster_194	['GO:0006953']
HFE	cluster_194	['GO:0006953']
KDR	cluster_194	['GO:0048010']
KRT5	cluster_194	['GO:0005882']
NCK2	cluster_194	['GO:0048010']
NCKIPSD	cluster_194	['GO:0005882']
SH2D2A	cluster_194	['GO:0048010']
UBE2L3	cluster_194	['GO:0031398']
ABL1	cluster_195	['GO:0051019']
CASP14	cluster_195	['GO:0045095']
CDK5RAP3	cluster_195	['GO:0051019', 'GO:0051059']
FASLG	cluster_195	['GO:0045742']
FOXP3	cluster_195	['GO:0051059']
GPER1	cluster_195	['GO:0045095', 'GO:0045742']
KRT2	cluster_195	['GO:0045095']
MAPKAPK5	cluster_195	['GO:0051019']
NFKBIA	cluster_195	['GO:0051059']
PDE6G	cluster_195	['GO:0045742']
CR1	cluster_197	['GO:0032703']
HOMER2	cluster_197	['GO:0032703']
METTL1	cluster_198	['GO:0000049']
SNCG	cluster_198	['GO:0014059', 'GO:1901214']
ARHGEF7	cluster_2	['GO:0042059']
EGFR	cluster_2	['GO:0042059']
NES	cluster_2	['GO:0045111']
SMARCA2	cluster_2	['GO:0045111']
AURKB	cluster_20	['GO:0006511', 'GO:0007094', 'GO:0031145']
MAD2L1	cluster_20	['GO:0006511', 'GO:0007094', 'GO:0031145']
LTB	cluster_21	['GO:0005164']
TRAF2	cluster_21	['GO:0005164']
TRIM37	cluster_21	['GO:0005164']
CDK10	cluster_25	['GO:0007346']
TBK1	cluster_25	['GO:0032728', 'GO:0035666']
TICAM1	cluster_25	['GO:0032728', 'GO:0035666']
TP73	cluster_25	['GO:0007346']
APOE	cluster_26	['GO:0010596', 'GO:0043537']
CCNG1	cluster_26	['GO:0000307']
CDH3	cluster_26	['GO:0034332']
CDK12	cluster_26	['GO:0000307']
CTNND1	cluster_26	['GO:0034332']
DLL4	cluster_26	['GO:0010596']
JUP	cluster_26	['GO:0034332', 'GO:0043537']
AP3B1	cluster_27	['GO:0007040']
CTSK	cluster_27	['GO:0045616']
CTNNB1	cluster_28	['GO:0043525']
GRN	cluster_28	['GO:0043525']
BCL2L11	cluster_29	['GO:0008630', 'GO:0048536']
CHEK2	cluster_29	['GO:0008630']
E2F1	cluster_29	['GO:0008630']
FGF10	cluster_29	['GO:0001656', 'GO:0048536']
GDF11	cluster_29	['GO:0001656']
LIG1	cluster_29	['GO:0071897']
NFKB2	cluster_29	['GO:0048536']
POLB	cluster_29	['GO:0008630', 'GO:0048536', 'GO:0071897']
POLL	cluster_29	['GO:0071897']
SHH	cluster_29	['GO:0001656']
NTF4	cluster_3	['GO:0045664']
TBC1D4	cluster_3	['GO:0032869']
YWHAG	cluster_3	['GO:0032869', 'GO:0045664']
AP1M1	cluster_30	['GO:0030136']
BCAP31	cluster_30	['GO:0030136', 'GO:0043280']
DAPK1	cluster_30	['GO:0043280']
FZD3	cluster_30	['GO:0007223']
NLK	cluster_30	['GO:0007223']
AGAP2	cluster_31	['GO:0019901']
BGLAP	cluster_31	['GO:0033574']
BICD1	cluster_31	['GO:0019901']
CCND3	cluster_31	['GO:0019901', 'GO:0042098']
KAT2B	cluster_31	['GO:0019901']
KCNJ11	cluster_31	['GO:0033574']
PRKAB1	cluster_31	['GO:0019901']
RIPK2	cluster_31	['GO:0042098']
FZD9	cluster_33	['GO:0051480']
RPA1	cluster_33	['GO:0000082']
TRPC7	cluster_33	['GO:0051480']
USP37	cluster_33	['GO:0000082']
DIAPH1	cluster_34	['GO:0030041']
KPNA4	cluster_34	['GO:0008139']
KPNA6	cluster_34	['GO:0008139']
RAB8A	cluster_34	['GO:0008021']
SHANK1	cluster_34	['GO:0060997', 'GO:2000463']
STX1A	cluster_34	['GO:0008021', 'GO:2000463']
SV2A	cluster_34	['GO:0008021']
WASL	cluster_34	['GO:0030041', 'GO:0060997']
ADIPOR1	cluster_35	['GO:0019216']
GDI1	cluster_35	['GO:0051056']
HDAC3	cluster_35	['GO:0019216']
RFWD3	cluster_35	['GO:0031297']
SMARCAL1	cluster_35	['GO:0031297']
SRGAP3	cluster_35	['GO:0051056']
ERCC8	cluster_36	['GO:0000209', 'GO:0043687']
KEAP1	cluster_36	['GO:0006511', 'GO:0016567', 'GO:0016579', 'GO:0043687']
PSMD11	cluster_36	['GO:0000209', 'GO:0006511', 'GO:0016579', 'GO:0031145', 'GO:0043687', 'GO:1901990']
PTTG1IP	cluster_36	['GO:0031398']
TOLLIP	cluster_36	['GO:0006511']
UBA7	cluster_36	['GO:0016567']
UBE2D1	cluster_36	['GO:0000209', 'GO:0006511', 'GO:0016567', 'GO:0016579', 'GO:0031145', 'GO:0031398', 'GO:1901990']
CDH1	cluster_37	['GO:0007156', 'GO:0034332']
CDH15	cluster_37	['GO:0007156', 'GO:0034332']
DCLRE1A	cluster_37	['GO:0036297']
ERCC4	cluster_37	['GO:0006296', 'GO:0033683', 'GO:0036297', 'GO:0070911']
UBB	cluster_37	['GO:0006296', 'GO:0033683', 'GO:0036297', 'GO:0070911']
IFNA17	cluster_38	['GO:0002286', 'GO:0043330']
ADAM2	cluster_39	['GO:0004222']
CRY1	cluster_39	['GO:0003690']
DMC1	cluster_39	['GO:0003690']
MME	cluster_39	['GO:0004222']
SAFB	cluster_39	['GO:0003690']
BAX	cluster_4	['GO:0034620']
HSPA8	cluster_4	['GO:0034620']
PIK3C2A	cluster_4	['GO:0046854']
SOCS1	cluster_4	['GO:0046854']
MMP8	cluster_40	['GO:0043388']
PSMA4	cluster_40	['GO:0033209']
TNFRSF14	cluster_40	['GO:0033209']
TNFRSF18	cluster_40	['GO:0033209']
TXN	cluster_40	['GO:0043388']
MYBBP1A	cluster_41	['GO:0072332']
POU4F1	cluster_41	['GO:0072332']
PROK2	cluster_41	['GO:0045765']
RDX	cluster_41	['GO:0008361']
SFRP1	cluster_41	['GO:0045765']
VAV2	cluster_41	['GO:0008361']
ADAM9	cluster_44	['GO:0050714']
PLA2G1B	cluster_44	['GO:0050714']
STK4	cluster_45	['GO:0030216']
TGM1	cluster_45	['GO:0030216']
GALR2	cluster_46	['GO:0007194']
CD81	cluster_47	['GO:0046718']
HBEGF	cluster_47	['GO:0030307']
ITCH	cluster_47	['GO:0046718']
RPTOR	cluster_47	['GO:0030307']
CAV1	cluster_49	['GO:0031267', 'GO:1904886']
DVL3	cluster_49	['GO:0005109', 'GO:0031267', 'GO:1904886']
NOX1	cluster_49	['GO:0031267']
PKN1	cluster_49	['GO:0031267']
RAP1GAP	cluster_49	['GO:0031267']
