HGNC ID	Approved symbol	Accession numbers	entrezid
HGNC:51555	MIR2052HG		441355.0
HGNC:37069	MIR2053		100302225.0
HGNC:37070	MIR2054		100302267.0
HGNC:37071	MIR2110		100302224.0
HGNC:37058	MIR2113		100302164.0
HGNC:37308	MIR2114		100313839.0
HGNC:37309	MIR2115		100313840.0
HGNC:37310	MIR2116		100313886.0
HGNC:37311	MIR2117		100313779.0
HGNC:51999	MIR2117HG	DA448302	106660605.0
HGNC:37313	MIR2276		100313842.0
HGNC:37314	MIR2277		100313887.0
HGNC:37315	MIR2278		100313780.0
HGNC:38328	MIR2355		100423036.0
HGNC:41843	MIR2392		100616495.0
HGNC:41881	MIR2467		100616360.0
HGNC:41532	MIR2681		100616110.0
HGNC:41688	MIR2682		100616452.0
HGNC:38221	MIR2861		100422910.0
HGNC:38372	MIR2909		100422969.0
HGNC:54162	MIR3059		113839519.0
HGNC:41652	MIR3064		100616387.0
HGNC:38234	MIR3065		100422915.0
HGNC:38268	MIR3074		100422842.0
HGNC:54163	MIR3085		113839520.0
HGNC:38371	MIR3115		100422866.0
HGNC:38200	MIR3116-1		100422902.0
HGNC:38318	MIR3116-2		100422946.0
HGNC:38385	MIR3117		100422871.0
HGNC:38265	MIR3118-1		100423008.0
HGNC:38324	MIR3118-2		100422949.0
HGNC:38274	MIR3118-3		100422844.0
HGNC:38287	MIR3118-4		100422935.0
HGNC:38351	MIR3118-5		
HGNC:38210	MIR3118-6		
HGNC:38253	MIR3119-1		100422839.0
HGNC:38315	MIR3119-2		100423010.0
HGNC:38295	MIR3120		100422882.0
HGNC:38259	MIR3121		100423032.0
HGNC:38320	MIR3122		100422947.0
HGNC:38330	MIR3123		100422856.0
HGNC:38262	MIR3124		100422879.0
HGNC:38219	MIR3125		100422986.0
HGNC:38225	MIR3126		100423030.0
HGNC:38269	MIR3127		100422928.0
HGNC:38188	MIR3128		100422824.0
HGNC:38217	MIR3129		100422908.0
HGNC:38275	MIR3130-1		100422993.0
HGNC:38363	MIR3130-2		100423002.0
HGNC:38240	MIR3130-3		
HGNC:38344	MIR3130-4		
HGNC:38347	MIR3131		100422957.0
HGNC:38373	MIR3132		100423039.0
HGNC:38305	MIR3133		100422942.0
HGNC:38254	MIR3134		100422990.0
HGNC:38199	MIR3135A		100422901.0
HGNC:41783	MIR3135B		100616218.0
HGNC:38340	MIR3136		100422859.0
HGNC:38263	MIR3137		100422926.0
HGNC:38341	MIR3138		100423011.0
HGNC:38201	MIR3139		100423017.0
HGNC:38183	MIR3140		100422896.0
HGNC:38326	MIR3141		100422950.0
HGNC:38297	MIR3142		100422938.0
HGNC:51944	MIR3142HG		107075116.0
HGNC:38284	MIR3143		100422934.0
HGNC:38331	MIR3144		100422951.0
HGNC:38327	MIR3145		100423001.0
HGNC:38368	MIR3146		100422967.0
HGNC:38300	MIR3147		100422939.0
HGNC:56144	MIR3147HG		100653233.0
HGNC:38215	MIR3148		100422876.0
HGNC:38251	MIR3149		100422921.0
HGNC:38362	MIR3150A		100422964.0
HGNC:38938	MIR3150B		100500907.0
HGNC:52000	MIR3150BHG		105375650.0
HGNC:38266	MIR3151		100422992.0
HGNC:38379	MIR3152		100422869.0
HGNC:38289	MIR3153		100422936.0
HGNC:38176	MIR3154		100422893.0
HGNC:38245	MIR3155A		100422989.0
HGNC:50003	MIR3155B		100628560.0
HGNC:38241	MIR3156-1		100422988.0
HGNC:38213	MIR3156-2		100422907.0
HGNC:38229	MIR3156-3		100423018.0
HGNC:38172	MIR3157		100422892.0
HGNC:38196	MIR3158-1		100422900.0
HGNC:38279	MIR3158-2		100423033.0
HGNC:38181	MIR3159		100423016.0
HGNC:38197	MIR3160-1		100422827.0
HGNC:38192	MIR3160-2		100422825.0
HGNC:38285	MIR3161		100423000.0
HGNC:38271	MIR3162		100422880.0
HGNC:38209	MIR3163		100423029.0
HGNC:38288	MIR3164		100422846.0
HGNC:38335	MIR3165		100422953.0
HGNC:38386	MIR3166		100423040.0
HGNC:38242	MIR3167		100422918.0
HGNC:38249	MIR3168		100422878.0
HGNC:38380	MIR3169		100422973.0
HGNC:38282	MIR3170		100422881.0
HGNC:38216	MIR3171		100422830.0
HGNC:56193	MIR3171HG		728755.0
HGNC:38177	MIR3172		
HGNC:38174	MIR3173		100422981.0
HGNC:38264	MIR3174		100422841.0
HGNC:38299	MIR3175		100422995.0
HGNC:38345	MIR3176		100423037.0
HGNC:38364	MIR3177		100423012.0
HGNC:38381	MIR3178		100422974.0
HGNC:38353	MIR3179-1		100422960.0
HGNC:38325	MIR3179-2		100422886.0
HGNC:38214	MIR3179-3		100423006.0
HGNC:50838	MIR3179-4		103504729.0
HGNC:38382	MIR3180-1		100422870.0
HGNC:38343	MIR3180-2		100422956.0
HGNC:38239	MIR3180-3		100422836.0
HGNC:38920	MIR3180-4		100500852.0
HGNC:38969	MIR3180-5		100500916.0
HGNC:38378	MIR3181		100422972.0
HGNC:38317	MIR3182		100422853.0
HGNC:38237	MIR3183		100422835.0
HGNC:38182	MIR3184		100423003.0
HGNC:38391	MIR3185		100422978.0
HGNC:38311	MIR3186		100422944.0
HGNC:38319	MIR3187		100422854.0
HGNC:38226	MIR3188		100422833.0
HGNC:38307	MIR3189		100422943.0
HGNC:38190	MIR3190		100422899.0
HGNC:38222	MIR3191		100422832.0
HGNC:38202	MIR3192		100422875.0
HGNC:38204	MIR3193		100422904.0
HGNC:38346	MIR3194		100422889.0
HGNC:38250	MIR3195		100422838.0
HGNC:38198	MIR3196		100423014.0
HGNC:38366	MIR3197		100423023.0
HGNC:38236	MIR3198-1		100423025.0
HGNC:41766	MIR3198-2		100616400.0
HGNC:38294	MIR3199-1		100423034.0
HGNC:38205	MIR3199-2		100422998.0
HGNC:38227	MIR3200		100422912.0
HGNC:38235	MIR3201		100422916.0
HGNC:38224	MIR3202-1		100422987.0
HGNC:38228	MIR3202-2		100422877.0
HGNC:41564	MIR3529		100616238.0
HGNC:41875	MIR3591		100616357.0
HGNC:38922	MIR3605		100500853.0
HGNC:38881	MIR3606		100500837.0
HGNC:38900	MIR3607		
HGNC:38956	MIR3609		100500819.0
HGNC:38942	MIR3610		100500914.0
HGNC:38914	MIR3611		100500890.0
HGNC:38951	MIR3612		100500817.0
HGNC:38964	MIR3613		100500908.0
HGNC:38995	MIR3614		100500827.0
HGNC:38905	MIR3615		100500847.0
HGNC:38943	MIR3616		100500814.0
HGNC:38977	MIR3617		100500897.0
HGNC:38937	MIR3618		100500860.0
HGNC:38998	MIR3619		100500828.0
HGNC:38917	MIR3620		100500810.0
HGNC:38930	MIR3621		100500811.0
HGNC:38934	MIR3622A		100500858.0
HGNC:38961	MIR3622B		100500871.0
HGNC:38935	MIR3646		100500813.0
HGNC:38903	MIR3647		
HGNC:38941	MIR3648-1		100500862.0
HGNC:50843	MIR3648-2		103504731.0
HGNC:38948	MIR3649		100500816.0
HGNC:38981	MIR3650		100500824.0
HGNC:38897	MIR3651		100500918.0
HGNC:38894	MIR3652		100500842.0
HGNC:38971	MIR3653		
HGNC:38896	MIR3654		100500804.0
HGNC:38960	MIR3655		100500820.0
HGNC:38889	MIR3656		
HGNC:38906	MIR3657		100500889.0
HGNC:38963	MIR3658		100500832.0
HGNC:38882	MIR3659		100500801.0
HGNC:54306	MIR3659HG		105378653.0
HGNC:38985	MIR3660		100500825.0
HGNC:38892	MIR3661		100500905.0
HGNC:38983	MIR3662		100500880.0
HGNC:38958	MIR3663		100500893.0
